Base State,Target State,Epochs,CFCBK,FCBK,Zigzag,Weighted mAP@50,mAP@50:95,mAP@50,mAP@75,CA mAP@50:95,CA mAP@50,CA mAP@75
Delhi NCR,West Bengal,50,0.000000,0.003015,0.187389,0.103257,0.030685,0.095202,0.007866,0.089515,0.298416,0.022567
Delhi NCR,West Bengal,49,0.000000,0.003054,0.187554,0.103365,0.030561,0.095304,0.007864,0.088147,0.297886,0.022212
Delhi NCR,West Bengal,48,0.000000,0.002736,0.194308,0.106892,0.030349,0.098522,0.007828,0.086472,0.300115,0.021976
Delhi NCR,West Bengal,47,0.000000,0.002686,0.188837,0.103894,0.029504,0.095761,0.008230,0.084964,0.295775,0.023113
Delhi NCR,West Bengal,46,0.000000,0.002400,0.181999,0.100046,0.028631,0.092200,0.008198,0.083517,0.292610,0.022762
Delhi NCR,West Bengal,45,0.000000,0.002062,0.179575,0.098574,0.028299,0.090818,0.008171,0.083757,0.295697,0.022770
Delhi NCR,West Bengal,44,0.000000,0.000716,0.185317,0.101081,0.028595,0.093016,0.008189,0.083226,0.293832,0.022142
Delhi NCR,West Bengal,43,0.000000,0.000266,0.183176,0.099712,0.028498,0.091721,0.008070,0.083439,0.292531,0.021952
Delhi NCR,West Bengal,42,0.000000,0.000261,0.169175,0.092098,0.026968,0.084718,0.009506,0.081227,0.283439,0.023814
Delhi NCR,West Bengal,41,0.000000,0.000446,0.171983,0.093709,0.026906,0.086215,0.009618,0.080993,0.287957,0.024564
Delhi NCR,West Bengal,40,0.000000,0.002229,0.179256,0.098476,0.027727,0.090742,0.009548,0.081014,0.293152,0.023248
Delhi NCR,West Bengal,39,0.000000,0.003492,0.177420,0.098055,0.028445,0.090456,0.009688,0.081823,0.288948,0.023983
Delhi NCR,West Bengal,38,0.000000,0.004983,0.184538,0.102605,0.030257,0.094760,0.009881,0.082790,0.293455,0.020487
Delhi NCR,West Bengal,37,0.000000,0.003781,0.185169,0.102400,0.029601,0.094475,0.008343,0.082421,0.291473,0.018874
Delhi NCR,West Bengal,36,0.000000,0.000857,0.190245,0.103825,0.030174,0.095551,0.008495,0.082353,0.290621,0.018151
Delhi NCR,West Bengal,35,0.000000,0.001505,0.189210,0.103558,0.030733,0.095357,0.014137,0.083668,0.293216,0.024408
Delhi NCR,West Bengal,34,0.000000,0.000716,0.186407,0.101675,0.029916,0.093562,0.013774,0.082517,0.290049,0.023593
Delhi NCR,West Bengal,33,0.000000,0.001485,0.184632,0.101060,0.029972,0.093059,0.013812,0.082861,0.288403,0.023888
Delhi NCR,West Bengal,32,0.000000,0.003283,0.179507,0.099094,0.029488,0.091395,0.009493,0.078337,0.268107,0.022139
Delhi NCR,West Bengal,31,0.000000,0.000559,0.188433,0.102704,0.030217,0.094496,0.010936,0.075090,0.278668,0.022400
Delhi NCR,West Bengal,30,0.000000,0.001212,0.176389,0.096454,0.027427,0.088800,0.012519,0.070593,0.257444,0.021636
Delhi NCR,West Bengal,29,0.000000,0.001593,0.162493,0.089073,0.023190,0.082043,0.010115,0.065377,0.254214,0.021152
Delhi NCR,West Bengal,28,0.000000,0.000096,0.145710,0.079265,0.021658,0.072903,0.008039,0.061416,0.232483,0.019703
Delhi NCR,West Bengal,27,0.000000,0.000789,0.124962,0.068300,0.018466,0.062875,0.008664,0.054859,0.214503,0.019138
Delhi NCR,West Bengal,26,0.000000,0.001685,0.124702,0.068568,0.013538,0.063194,0.002950,0.045913,0.209437,0.008097
Delhi NCR,West Bengal,25,0.000000,0.000044,0.098300,0.053464,0.015351,0.049172,0.008115,0.047092,0.180004,0.017973
Delhi NCR,West Bengal,24,0.000000,0.000309,0.057119,0.031196,0.007242,0.028714,0.002366,0.028461,0.121960,0.005143
Delhi NCR,West Bengal,23,0.000000,0.000000,0.056921,0.030947,0.005816,0.028461,0.000233,0.021359,0.101296,0.001985
Delhi NCR,West Bengal,22,0.000000,0.000000,0.056323,0.030622,0.006004,0.028161,0.000447,0.015019,0.071112,0.001369
Delhi NCR,West Bengal,21,0.000000,0.000000,0.046394,0.025224,0.005968,0.023197,0.000972,0.014381,0.061735,0.001587
Delhi NCR,West Bengal,20,0.000000,0.000000,0.034753,0.018895,0.003649,0.017376,0.000327,0.007748,0.038716,0.000982
Delhi NCR,West Bengal,19,0.000000,0.000000,0.010268,0.005583,0.001443,0.005134,0.000000,0.002705,0.012833,0.000006
Delhi NCR,West Bengal,18,0.000000,0.000000,0.005823,0.003166,0.000827,0.002911,0.000014,0.001539,0.007280,0.000045
Delhi NCR,West Bengal,17,0.000000,0.000000,0.005513,0.002998,0.000746,0.002757,0.000008,0.001362,0.006848,0.000009
Delhi NCR,West Bengal,16,0.000000,0.000000,0.002607,0.001417,0.000318,0.001303,0.000000,0.000777,0.003535,0.000008
Delhi NCR,West Bengal,15,0.000000,0.000000,0.001716,0.000933,0.000158,0.000858,0.000000,0.000344,0.001934,0.000000
Delhi NCR,West Bengal,14,0.000000,0.000000,0.001532,0.000833,0.000152,0.000766,0.000000,0.000279,0.001454,0.000008
Delhi NCR,West Bengal,13,0.000000,0.000000,0.001091,0.000593,0.000087,0.000546,0.000002,0.000349,0.001834,0.000006
Delhi NCR,West Bengal,12,0.000000,0.000000,0.000737,0.000401,0.000084,0.000368,0.000000,0.000213,0.000932,0.000034
